dataset,krao,selection,proj_sel,proj_sel_qtt,bang,total
32, 41.738638, 2.388871, 2.216397, 2.110487, 0.177854, 48.632247
32, 0.402411, 2.225022, 0.653301, 0.893305, 0.182920, 4.356959
32, 0.392568, 2.373234, 0.714780, 0.937194, 0.183488, 4.601264
32, 0.265133, 2.203308, 0.559182, 0.790781, 0.176698, 3.995102
32, 0.335842, 2.193662, 0.572083, 0.810922, 0.177486, 4.089995
32, 0.393353, 2.136966, 0.571416, 0.813595, 0.176624, 4.091954
32, 0.278594, 2.203630, 0.662176, 0.800746, 0.171217, 4.116363
32, 0.315326, 2.185427, 0.597136, 0.794836, 0.176435, 4.069160
32, 0.311740, 2.196975, 0.611965, 0.774382, 0.171274, 4.066336
32, 0.363693, 2.148266, 0.542415, 0.774761, 0.171591, 4.000726
32, 0.327360, 2.247189, 0.612915, 0.805527, 0.174106, 4.167097
32, 0.281955, 2.195028, 0.662802, 0.807394, 0.176551, 4.123730
32, 0.373535, 2.375518, 0.687181, 0.901530, 0.182531, 4.520295
32, 0.265456, 2.207427, 0.556970, 0.796495, 0.176381, 4.002729
32, 0.314668, 2.209559, 0.659528, 0.806359, 0.176071, 4.166185
32, 0.366820, 2.223826, 0.573719, 0.788535, 0.176266, 4.129166
32, 0.342302, 2.148947, 0.550782, 0.786643, 0.171243, 3.999917
32, 0.314204, 2.211836, 0.677518, 0.802399, 0.171268, 4.177225
32, 0.324123, 2.139062, 0.625827, 0.821632, 0.173299, 4.083943
32, 0.345849, 2.141455, 0.555069, 0.815802, 0.178771, 4.036946
32, 0.244340, 2.200749, 0.611508, 0.803424, 0.233982, 4.094003
32, 0.356143, 2.142061, 0.545294, 0.792591, 0.172327, 4.008416
32, 0.436041, 2.149044, 0.612448, 0.808901, 0.176434, 4.182868
32, 0.410777, 2.155538, 0.537739, 0.781868, 0.176583, 4.062505
32, 0.395642, 2.153128, 0.603997, 0.812342, 0.176328, 4.141437
32, 0.428516, 2.140823, 0.546115, 0.818229, 0.180216, 4.113899
32, 0.289893, 2.198199, 0.662756, 0.782614, 0.171373, 4.104835
32, 0.427178, 2.151868, 0.559353, 0.786355, 0.172306, 4.097060
32, 0.349701, 2.212464, 0.546189, 0.777752, 0.172020, 4.058126
32, 0.254563, 2.205159, 0.604601, 0.769396, 0.171471, 4.005190
32, 0.352275, 2.182144, 0.602686, 0.809614, 0.176256, 4.122975
32, 0.254460, 2.158552, 0.535158, 0.767075, 0.171443, 3.886688
32, 0.347069, 2.134551, 0.542035, 0.784782, 0.176819, 3.985256
32, 0.323908, 2.207136, 0.640371, 0.806663, 0.176218, 4.154296
32, 0.411786, 2.144026, 0.553793, 0.771014, 0.174805, 4.055424
32, 0.334090, 2.231921, 0.606661, 0.766918, 0.171456, 4.111046
32, 0.331164, 2.254530, 0.708515, 0.829875, 0.176520, 4.300604
32, 0.311970, 2.208470, 0.560070, 0.796113, 0.176789, 4.053412
32, 0.476841, 2.206169, 0.552081, 0.803580, 0.177151, 4.215822
32, 0.272866, 2.235822, 0.570774, 0.789287, 0.177364, 4.046113
32, 0.349250, 2.303169, 0.555874, 0.788387, 0.177484, 4.174164
32, 0.338084, 2.280864, 0.564787, 0.797207, 0.178201, 4.159143
32, 0.351594, 2.197377, 0.560931, 0.787973, 0.176653, 4.074528
32, 0.409358, 2.227838, 0.555903, 0.836223, 0.185970, 4.215292
32, 0.353073, 2.215709, 0.549595, 0.800532, 0.177023, 4.095932
32, 0.292340, 2.198486, 0.560704, 0.787165, 0.176459, 4.015154
32, 0.356511, 2.199808, 0.555031, 0.785171, 0.176548, 4.073069
32, 0.355735, 2.205967, 0.560274, 0.785713, 0.177917, 4.085606
32, 0.343494, 2.196659, 0.555392, 0.794838, 0.176861, 4.067244
32, 0.359826, 2.223440, 0.555570, 0.854426, 0.184809, 4.178071
32, 0.253651, 2.312806, 0.561853, 0.788652, 0.177605, 4.094567
32, 0.368575, 2.198964, 0.558503, 0.791469, 0.176890, 4.094401
32, 0.343841, 2.197320, 0.560966, 0.798519, 0.176671, 4.077317
32, 0.392510, 2.211417, 0.553022, 0.787324, 0.178096, 4.122369
32, 0.284708, 2.232423, 0.563837, 0.791831, 0.176672, 4.049471
32, 0.305732, 2.208420, 0.567870, 0.792264, 0.176829, 4.051115
32, 0.329067, 2.170766, 0.551736, 0.774912, 0.171506, 3.997987
32, 0.338191, 2.184249, 0.620843, 0.798960, 0.171669, 4.113912
32, 0.342973, 2.302495, 0.555084, 0.788525, 0.178891, 4.167968
32, 0.424369, 2.202678, 0.551530, 0.793187, 0.176849, 4.148613
32, 0.339427, 2.229100, 0.563264, 0.791083, 0.177390, 4.100264
32, 0.337024, 2.148251, 0.560436, 0.805480, 0.176633, 4.027824
32, 0.333961, 2.187012, 0.668599, 0.801737, 0.171527, 4.162836
32, 0.423270, 2.201774, 0.563289, 0.812706, 0.177545, 4.178584
32, 0.328062, 2.299757, 0.575087, 0.787845, 0.177235, 4.167986
32, 0.310501, 2.322331, 0.569298, 0.792512, 0.177747, 4.172389
32, 0.440498, 2.188133, 0.557182, 0.788265, 0.177617, 4.151695
32, 0.322214, 2.200805, 0.574027, 0.790333, 0.176928, 4.064307
32, 0.337625, 2.151582, 0.613137, 0.809350, 0.176305, 4.087999
32, 0.278565, 2.200789, 0.645388, 0.765427, 0.171521, 4.061690
32, 0.311816, 2.176317, 0.594275, 0.768577, 0.171527, 4.022512
32, 0.312360, 2.150093, 0.547444, 0.794006, 0.171278, 3.975181
32, 0.341706, 2.222445, 0.537610, 0.780797, 0.171826, 4.054384
32, 0.337575, 2.207408, 0.609823, 0.799305, 0.176089, 4.130200
32, 0.357659, 2.133180, 0.541176, 0.781253, 0.171223, 3.984491
32, 0.273487, 2.193856, 0.678248, 0.797294, 0.177086, 4.119971
32, 0.337934, 2.213628, 0.562371, 0.789081, 0.176435, 4.079449
32, 0.433431, 2.150941, 0.553807, 0.767504, 0.171481, 4.077164
32, 0.334077, 2.230993, 0.596235, 0.789745, 0.176772, 4.127822
32, 0.345575, 2.327475, 0.557963, 0.795575, 0.177341, 4.203929
32, 0.347995, 2.275286, 0.550767, 0.801284, 0.177116, 4.152448
32, 0.355966, 2.182286, 0.687871, 0.808262, 0.176503, 4.210888
32, 0.339031, 2.145100, 0.618487, 0.788293, 0.171253, 4.062164
32, 0.378667, 2.266857, 0.599353, 0.892852, 0.176206, 4.313935
32, 0.252681, 2.309445, 0.566489, 0.791624, 0.176518, 4.096757
32, 0.364767, 2.188024, 0.568529, 0.788537, 0.176839, 4.086696
32, 0.317122, 2.148256, 0.548379, 0.789075, 0.171236, 3.974068
32, 0.312983, 2.214003, 0.638261, 0.785274, 0.171266, 4.121787
32, 0.341777, 2.138379, 0.574312, 0.778706, 0.171227, 4.004401
32, 0.309735, 2.200670, 0.657682, 0.804443, 0.171531, 4.144061
32, 0.317755, 2.212045, 0.648372, 0.835066, 0.176449, 4.189687
32, 0.347228, 2.156192, 0.552579, 0.787784, 0.172335, 4.016118
32, 0.370781, 2.203104, 0.525458, 0.818832, 0.173455, 4.091630
32, 0.439194, 2.267351, 0.567624, 0.767609, 0.171173, 4.212951
32, 0.402856, 2.131025, 0.553254, 0.768852, 0.171197, 4.027184
32, 0.350137, 2.146332, 0.553361, 0.770916, 0.171306, 3.992052
32, 0.351082, 2.176758, 0.599453, 0.769322, 0.171588, 4.068203
32, 0.305547, 2.210554, 0.671941, 0.812797, 0.176466, 4.177305
32, 0.308712, 2.189997, 0.679933, 0.811668, 0.171443, 4.161753
32, 0.362233, 2.145119, 0.540887, 0.765343, 0.173936, 3.987518
